secs,&nbsp;4 17:47+0&gt;193,&nbsp;4 17:52+2&gt;190,&nbsp;4 18:13+0&gt;111,&nbsp;4 18:14+0&gt;189
0,NaN,NaN,0.00,0.00
1,0.00,0.00,0.00,0.00
1.5,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00
2.5,0.00,0.00,0.00,0.00
3,NaN,NaN,0.00,0.00
3.5,0.00,0.00,0.00,0.00
4,NaN,0.00,0.00,0.00
4.5,0.00,NaN,0.00,0.00
5,60.65,NaN,2.47,NaN
5.5,NaN,NaN,20.38,NaN
6,NaN,NaN,35.36,NaN
6.5,NaN,NaN,47.87,NaN
7,NaN,NaN,58.29,NaN
7.5,NaN,NaN,67.04,NaN
8,NaN,NaN,70.86,NaN
8.5,NaN,NaN,77.53,NaN
9,NaN,NaN,83.12,NaN
9.5,NaN,NaN,87.78,NaN
10,NaN,NaN,91.69,NaN
10.5,NaN,NaN,93.39,NaN
11,NaN,NaN,96.41,NaN
11.5,NaN,NaN,98.94,NaN
12,81.20,5.80,101.05,NaN
12.5,192.91,NaN,102.80,NaN
13,NaN,NaN,103.56,NaN
13.5,NaN,NaN,104.87,NaN
14,NaN,NaN,105.98,NaN
14.5,NaN,NaN,106.90,NaN
15,NaN,NaN,107.30,NaN
15.5,NaN,NaN,108.01,NaN
16,NaN,NaN,108.59,NaN
16.5,NaN,NaN,109.06,NaN
17,NaN,NaN,109.44,NaN
17.5,NaN,NaN,109.60,NaN
18,NaN,NaN,109.89,NaN
18.5,NaN,NaN,110.16,NaN
19,NaN,NaN,110.36,NaN
19.5,NaN,NaN,110.52,NaN
20,NaN,NaN,110.60,NaN
20.5,NaN,NaN,110.73,NaN
21,NaN,NaN,110.83,NaN
21.5,NaN,NaN,110.89,NaN
22,NaN,NaN,110.95,NaN
22.5,NaN,NaN,110.97,NaN
23,NaN,NaN,111.02,NaN
23.5,NaN,NaN,111.05,NaN
24,NaN,NaN,111.08,NaN
24.5,NaN,NaN,111.10,NaN
25,NaN,NaN,111.09,NaN
25.5,NaN,NaN,111.08,NaN
26,NaN,NaN,111.07,NaN
26.5,NaN,NaN,111.04,NaN
27,NaN,NaN,111.02,NaN
27.5,NaN,NaN,111.00,NaN
28,NaN,NaN,110.94,NaN
28.5,NaN,NaN,110.89,NaN
29,50.39,NaN,110.82,NaN
29.5,164.71,NaN,110.79,NaN
30,NaN,NaN,110.74,NaN
30.5,NaN,NaN,110.72,NaN
31,NaN,NaN,110.74,NaN
31.5,NaN,NaN,110.76,NaN
32,NaN,116.92,110.77,NaN
32.5,NaN,NaN,110.79,NaN
33,NaN,NaN,110.81,NaN
33.5,NaN,NaN,110.85,NaN
34,NaN,NaN,110.90,NaN
34.5,NaN,NaN,110.92,NaN
35,NaN,NaN,110.98,NaN
35.5,NaN,NaN,111.05,NaN
36,NaN,NaN,111.09,NaN
36.5,NaN,NaN,111.11,NaN
37,NaN,NaN,111.11,NaN
37.5,NaN,NaN,111.09,NaN
38,NaN,NaN,111.09,NaN
38.5,182.70,NaN,111.13,NaN
39,NaN,NaN,111.15,NaN
39.5,NaN,NaN,111.18,NaN
40,NaN,NaN,111.23,NaN
40.5,NaN,NaN,111.22,NaN
41,NaN,NaN,111.18,NaN
41.5,NaN,NaN,111.15,NaN
42,NaN,NaN,111.13,NaN
42.5,NaN,NaN,111.14,NaN
43,NaN,NaN,111.14,NaN
43.5,NaN,NaN,111.14,NaN
44,41.90,NaN,111.13,NaN
44.5,NaN,NaN,111.11,NaN
45,NaN,NaN,111.12,NaN
45.5,NaN,NaN,111.12,NaN
46,NaN,NaN,111.12,NaN
46.5,NaN,NaN,111.12,NaN
47,NaN,NaN,111.09,NaN
47.5,NaN,NaN,111.11,36.78
48,NaN,NaN,111.12,175.88
48.5,NaN,NaN,111.06,NaN
49,NaN,NaN,111.03,NaN
49.5,NaN,NaN,110.91,NaN
50,NaN,NaN,110.81,NaN
50.5,NaN,NaN,110.76,NaN
51.5,NaN,NaN,NaN,189.20
52,NaN,NaN,NaN,172.83
52.5,NaN,NaN,NaN,157.83
53,NaN,NaN,NaN,131.58
53.5,NaN,NaN,NaN,109.60
54,NaN,NaN,NaN,91.21
54.5,NaN,NaN,NaN,83.16
55,NaN,NaN,NaN,69.13
55.5,NaN,NaN,NaN,57.35
56,NaN,NaN,NaN,47.55
56.5,NaN,NaN,NaN,39.39
57,NaN,NaN,NaN,35.85
57.5,NaN,NaN,NaN,29.66
58,NaN,NaN,NaN,24.51
58.5,NaN,NaN,NaN,20.21
59,NaN,NaN,NaN,16.63
59.5,NaN,NaN,NaN,15.08
60,NaN,NaN,NaN,12.37
60.5,NaN,NaN,NaN,10.13
61,NaN,NaN,NaN,8.27
61.5,NaN,NaN,NaN,6.72
62,NaN,NaN,NaN,6.06
62.5,NaN,NaN,NaN,4.90
63,NaN,NaN,NaN,3.92
63.5,NaN,NaN,NaN,3.08
64,NaN,NaN,NaN,2.33
64.5,NaN,NaN,NaN,2.01
65,NaN,NaN,NaN,1.44
65.5,NaN,NaN,NaN,0.95
66,NaN,NaN,NaN,0.57
66.5,NaN,NaN,NaN,0.24
67,NaN,NaN,NaN,0.10
113,NaN,52.69,NaN,NaN
134.5,NaN,98.32,NaN,NaN
158.5,NaN,48.30,NaN,NaN
160.5,NaN,189.85,NaN,NaN
161.5,NaN,106.13,NaN,NaN
171,NaN,168.06,NaN,NaN
