secs,4 11:18+8&gt;1,4 23:02+0&gt;1
1,NaN,0.00
1.5,0.00,0.00
2,0.00,0.00
2.5,0.00,0.00
3,0.00,NaN
3.5,0.04,NaN
4,0.05,NaN
4.5,0.06,0.00
5,0.05,0.08
5.5,0.06,0.14
6,0.06,0.24
6.5,0.04,0.36
7,0.03,0.46
7.5,0.01,0.53
8,NaN,0.56
8.5,NaN,0.62
9,NaN,0.68
9.5,NaN,0.72
10,0.02,0.78
10.5,0.10,0.80
11,0.27,0.83
11.5,0.43,0.85
12,0.56,0.89
12.5,0.60,0.93
13,0.67,0.94
13.5,0.74,0.99
14,0.79,1.00
14.5,0.84,1.02
15,0.86,1.05
15.5,0.83,1.06
16,0.73,1.06
16.5,0.66,1.07
17,0.62,1.08
17.5,0.54,1.10
18,0.50,1.11
18.5,0.47,1.12
19,0.46,1.12
19.5,0.43,1.11
20,0.41,1.09
20.5,0.38,1.09
21,0.38,1.09
21.5,0.37,1.08
22,0.37,1.07
22.5,0.37,1.07
23,0.37,1.07
23.5,0.38,1.06
24,0.36,1.04
24.5,0.40,1.03
25,0.42,0.98
25.5,0.45,0.96
26,0.53,0.88
26.5,0.64,0.81
27,0.76,0.72
27.5,0.81,0.64
28,0.88,0.61
28.5,0.94,0.57
29,1.01,0.52
29.5,1.07,0.50
30,1.08,0.47
30.5,1.13,0.45
31,1.17,0.43
31.5,1.20,0.42
32,1.23,0.44
32.5,1.26,0.44
33,1.31,0.44
33.5,1.35,0.42
34,1.38,NaN
34.5,1.39,NaN
35,1.40,NaN
35.5,1.41,NaN
36,1.44,NaN
36.5,1.30,NaN
37,1.08,NaN
37.5,0.99,NaN
38,0.81,NaN
38.5,0.65,NaN
39,0.54,NaN
39.5,0.44,NaN
40,0.36,NaN
40.5,0.25,NaN
41,0.17,NaN
41.5,0.10,NaN
42,0.02,NaN
83.5,-0.00,NaN
84,0.05,NaN
84.5,0.10,NaN
85,0.14,NaN
85.5,0.18,NaN
86,0.22,NaN
86.5,0.23,NaN
87,0.29,NaN
87.5,0.32,NaN
88,0.35,NaN
88.5,0.36,NaN
89,0.36,NaN
89.5,0.37,NaN
90,0.39,NaN
90.5,0.44,NaN
91,0.43,NaN
91.5,0.44,NaN
92,0.42,NaN
92.5,0.39,NaN
93,0.39,NaN
93.5,0.38,NaN
94,0.37,NaN
94.5,0.38,NaN
95,0.38,NaN
95.5,0.38,NaN
96,0.37,NaN
96.5,0.36,NaN
97,0.33,NaN
97.5,0.30,NaN
98,0.28,NaN
98.5,0.27,NaN
99,0.23,NaN
99.5,0.21,NaN
100,0.21,NaN
100.5,0.20,NaN
101,0.20,NaN
101.5,0.17,NaN
102,0.16,NaN
102.5,0.18,NaN
103,0.19,NaN
103.5,0.17,NaN
104,0.14,NaN
104.5,0.13,NaN
105,0.15,NaN
105.5,0.15,NaN
106,0.16,NaN
106.5,0.18,NaN
107,0.18,NaN
107.5,0.16,NaN
108,0.16,NaN
108.5,0.13,NaN
109,0.09,NaN
109.5,0.06,NaN
110,0.05,NaN
110.5,0.04,NaN
111,0.02,NaN
111.5,0.01,NaN
206,0.00,NaN
206.5,0.00,NaN
207,0.01,NaN
207.5,0.01,NaN
208,0.01,NaN
208.5,0.03,NaN
209,0.02,NaN
209.5,0.04,NaN
210,0.03,NaN
210.5,0.02,NaN
211,0.00,NaN
280.5,-0.00,NaN
307.5,-0.00,NaN
308,0.01,NaN
308.5,0.02,NaN
309,0.02,NaN
309.5,0.02,NaN
310,0.03,NaN
310.5,0.04,NaN
311,0.03,NaN
311.5,0.04,NaN
312,0.04,NaN
312.5,0.02,NaN
313,0.01,NaN
313.5,0.02,NaN
314,0.01,NaN
314.5,0.00,NaN
315,0.01,NaN
315.5,0.01,NaN
316,-0.00,NaN
316.5,-0.00,NaN
329,-0.00,NaN
329.5,0.00,NaN
330,0.02,NaN
330.5,0.03,NaN
331,0.03,NaN
331.5,0.04,NaN
332,0.03,NaN
332.5,0.05,NaN
333,0.04,NaN
333.5,0.03,NaN
334,0.00,NaN
414,0.00,NaN
414.5,0.02,NaN
415,0.02,NaN
415.5,0.03,NaN
416,0.06,NaN
416.5,0.07,NaN
417,0.07,NaN
417.5,0.08,NaN
418,0.08,NaN
418.5,0.07,NaN
419,0.07,NaN
419.5,0.07,NaN
420,0.08,NaN
420.5,0.07,NaN
421,0.07,NaN
421.5,0.05,NaN
422,0.06,NaN
422.5,0.05,NaN
423,0.04,NaN
423.5,0.04,NaN
424,0.03,NaN
424.5,0.02,NaN
425,0.02,NaN
425.5,0.01,NaN
426,0.01,NaN
426.5,0.00,NaN
427,0.00,NaN
427.5,-0.00,NaN
451,0.00,NaN
451.5,0.01,NaN
452,0.02,NaN
452.5,0.04,NaN
453,0.06,NaN
453.5,0.08,NaN
454,0.09,NaN
454.5,0.09,NaN
455,0.09,NaN
455.5,0.07,NaN
456,0.07,NaN
456.5,0.04,NaN
457,0.04,NaN
457.5,0.03,NaN
458,0.03,NaN
458.5,0.02,NaN
459,0.03,NaN
459.5,0.02,NaN
460,0.02,NaN
460.5,0.02,NaN
461,0.02,NaN
461.5,0.04,NaN
462,0.04,NaN
462.5,0.01,NaN
463,0.01,NaN
463.5,-0.00,NaN
466.5,0.00,NaN
467,0.00,NaN
468,-0.00,NaN
469,0.01,NaN
469.5,-0.00,NaN
473,-0.00,NaN
473.5,0.01,NaN
474,0.02,NaN
474.5,0.04,NaN
475,0.05,NaN
475.5,0.06,NaN
476,0.07,NaN
476.5,0.07,NaN
477,0.07,NaN
477.5,0.07,NaN
478,0.08,NaN
478.5,0.09,NaN
479,0.10,NaN
479.5,0.10,NaN
480,0.11,NaN
480.5,0.11,NaN
481,0.11,NaN
481.5,0.12,NaN
482,0.10,NaN
482.5,0.11,NaN
483,0.12,NaN
483.5,0.13,NaN
484,0.15,NaN
484.5,0.16,NaN
485,0.17,NaN
485.5,0.18,NaN
486,0.18,NaN
486.5,0.18,NaN
487,0.20,NaN
487.5,0.21,NaN
488,0.20,NaN
488.5,0.20,NaN
489,0.19,NaN
489.5,0.19,NaN
490,0.18,NaN
490.5,0.18,NaN
491,0.17,NaN
491.5,0.14,NaN
492,0.14,NaN
492.5,0.12,NaN
493,0.12,NaN
493.5,0.11,NaN
494,0.10,NaN
494.5,0.07,NaN
495,0.06,NaN
495.5,0.06,NaN
496,0.05,NaN
496.5,0.04,NaN
497,0.04,NaN
497.5,0.04,NaN
498,0.03,NaN
498.5,0.02,NaN
499,0.02,NaN
499.5,0.03,NaN
500,0.02,NaN
504,-0.00,NaN
504.5,-0.00,NaN
505,-0.00,NaN
505.5,0.01,NaN
506,0.01,NaN
506.5,0.02,NaN
507,0.01,NaN
507.5,0.00,NaN
508,0.00,NaN
508.5,-0.00,NaN
509,0.00,NaN
509.5,0.01,NaN
510,0.02,NaN
510.5,0.02,NaN
511,0.02,NaN
511.5,0.00,NaN
512,0.02,NaN
512.5,0.04,NaN
513,0.05,NaN
513.5,0.06,NaN
514,0.05,NaN
514.5,0.03,NaN
515,0.05,NaN
515.5,0.05,NaN
516,0.04,NaN
516.5,0.01,NaN
518.5,-0.00,NaN
519,0.06,NaN
519.5,0.16,NaN
520,0.23,NaN
520.5,0.26,NaN
521,0.30,NaN
521.5,0.28,NaN
